orth,phon,type,freq,log_freq
slit,/slit/,ANC_REG,10,2.48490665
thax,/T@ks/,ANC_REG,10,2.48490665
kleef,/klEf/,ANC_REG,10,2.48490665
krim,/krim/,ANC_REG,10,2.48490665
nisp,/nisp/,ANC_REG,10,2.48490665
plig,/plig/,ANC_REG,10,2.48490665
preld,/preld/,ANC_REG,10,2.48490665
scark,/skark/,ANC_REG,10,2.48490665
shing,/SiN/,ANC_REG,10,2.48490665
slape,/slAp/,ANC_REG,10,2.48490665
strot,/strOt/,ANC_EXC,10,2.48490665
grell,/grEl/,ANC_EXC,10,2.48490665
wrill,/rIl/,ANC_EXC,10,2.48490665
dest,/dEst/,ANC_EXC,10,2.48490665
drace,/dro/,ANC_EXC,10,2.48490665
fank,/fank/,ANC_EXC,10,2.48490665
geam,/jem/,ANC_EXC,10,2.48490665
kipe,/kip/,ANC_EXC,10,2.48490665
nust,/nUst/,ANC_EXC,10,2.48490665
suff,/sUf/,ANC_EXC,10,2.48490665
tive,/tIv/,ANC_AMB,10,2.48490665
blome,/blOm/,ANC_AMB,10,2.48490665
clead,/kled/,ANC_AMB,10,2.48490665
frow,/frW/,ANC_AMB,10,2.48490665
grour,/grWr/,ANC_AMB,10,2.48490665
plone,/plan/,ANC_AMB,10,2.48490665
slood,/sl^d/,ANC_AMB,10,2.48490665
